   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       1
     2   ...       3
     3   ...       6
     4   ...      15
     5   ...      16
     6   ...      13
     7   ...      24
     8   ...      23
     9   ...      26
    10   ...      40
    11   ...      39
    12   ...      34
    13   ...      38
    14   ...      14
    15   ...      10
    16   ...      36
    17   ...      37
    18   ...      25
    19   ...      57
    20   ...      59
    21   ...      56
    22   ...      55
    23   ...      60
    24   ...      54
    25   ...      58
    26   ...      53
    27   ...      61
    28   ...       8
    29   ...       9
    30   ...      20
    31   ...      22
    32   ...      32
    33   ...       4
    34   ...      44
    35   ...      41
    36   ...      45
    37   ...      43
    38   ...      46
    39   ...      42
    40   ...      19
    41   ...      17
    42   ...      30
    43   ...      27
    44   ...       2
    45   ...       5
    46   ...       7
    47   ...      29
    48   ...      12
    49   ...      50
    50   ...      48
    51   ...      28
    52   ...      11
    53   ...      33
    54   ...      52
    55   ...      31
    56   ...      21
    57   ...      18
    58   ...      51
    59   ...      62
    60   ...      63
    61   ...      47
    62   ...      35
    63   ...      49
  ------------------------------------------------------------------------
