   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       1
     2   ...       3
     3   ...       6
     4   ...      15
     5   ...      14
     6   ...      12
     7   ...      21
     8   ...      22
     9   ...      20
    10   ...      33
    11   ...      37
    12   ...      29
    13   ...      36
    14   ...      35
    15   ...      10
    16   ...      34
    17   ...      31
    18   ...      32
    19   ...      55
    20   ...      46
    21   ...      52
    22   ...      54
    23   ...      56
    24   ...      53
    25   ...      57
    26   ...      48
    27   ...      58
    28   ...       8
    29   ...       9
    30   ...      18
    31   ...      19
    32   ...      27
    33   ...       4
    34   ...      42
    35   ...      41
    36   ...      44
    37   ...      45
    38   ...      43
    39   ...      39
    40   ...      61
    41   ...      60
    42   ...      24
    43   ...      62
    44   ...       2
    45   ...       5
    46   ...       7
    47   ...      26
    48   ...      13
    49   ...      49
    50   ...      47
    51   ...      23
    52   ...      11
    53   ...      30
    54   ...      50
    55   ...      28
    56   ...      17
    57   ...      16
    58   ...      51
    59   ...      63
    60   ...      59
    61   ...      40
    62   ...      25
    63   ...      38
  ------------------------------------------------------------------------
