   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       1
     2   ...       3
     3   ...       5
     4   ...      13
     5   ...      14
     6   ...      10
     7   ...      20
     8   ...      22
     9   ...      23
    10   ...      32
    11   ...      36
    12   ...      31
    13   ...      33
    14   ...      38
    15   ...       9
    16   ...      34
    17   ...      35
    18   ...      24
    19   ...      58
    20   ...      57
    21   ...      50
    22   ...      52
    23   ...      53
    24   ...      51
    25   ...      54
    26   ...      55
    27   ...      56
    28   ...       7
    29   ...       8
    30   ...      18
    31   ...      19
    32   ...      28
    33   ...       4
    34   ...      41
    35   ...      40
    36   ...      45
    37   ...      42
    38   ...      43
    39   ...      39
    40   ...      16
    41   ...      60
    42   ...      25
    43   ...      61
    44   ...       2
    45   ...      59
    46   ...       6
    47   ...      27
    48   ...      12
    49   ...      47
    50   ...      48
    51   ...      21
    52   ...      11
    53   ...      30
    54   ...      46
    55   ...      29
    56   ...      17
    57   ...      15
    58   ...      49
    59   ...      62
    60   ...      63
    61   ...      44
    62   ...      26
    63   ...      37
  ------------------------------------------------------------------------
