   Atom                     Volume(s)
  ------------------------------------------------------------------------
     1   ...       1
     2   ...       3
     3   ...       6
     4   ...      14
     5   ...      15
     6   ...      13
     7   ...      23
     8   ...      20
     9   ...      22
    10   ...      37
    11   ...      38
    12   ...      32
    13   ...      36
    14   ...      33
    15   ...      10
    16   ...      35
    17   ...      34
    18   ...      21
    19   ...      52
    20   ...      57
    21   ...      53
    22   ...      55
    23   ...      58
    24   ...      54
    25   ...      56
    26   ...      47
    27   ...      59
    28   ...       8
    29   ...       9
    30   ...      18
    31   ...      19
    32   ...      29
    33   ...       4
    34   ...      43
    35   ...      40
    36   ...      45
    37   ...      41
    38   ...      44
    39   ...      39
    40   ...      62
    41   ...      60
    42   ...      28
    43   ...      24
    44   ...       2
    45   ...       5
    46   ...       7
    47   ...      27
    48   ...      12
    49   ...      49
    50   ...      48
    51   ...      25
    52   ...      11
    53   ...      31
    54   ...      50
    55   ...      30
    56   ...      17
    57   ...      16
    58   ...      51
    59   ...      63
    60   ...      61
    61   ...      42
    62   ...      26
    63   ...      46
  ------------------------------------------------------------------------
